Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
233,"RUGGED IS: ""Western Rugged""",1944,117,0,Right Censored,30.96661686,1.490893761,-46.703948,0,0
234,"RURIMA I., Bay of Plenty",5974,84,1,Uncensored,5.598941695,0.748105945,-37.831994,2,0.477121255
235,"SEAL IS, Dusky Sd, ""Eastern Seal""",3457,117,0,Right Censored,13.71594817,1.137225835,-45.778102,0,0
236,"SEAL IS, Dusky Sd, ""Western Seal""",3435,117,0,Right Censored,9.545911451,0.979817401,-45.780814,0,0
237,SECRETARY I.,235,117,0,Right Censored,8024.518435,3.904418979,-45.227514,2,0.477121255
238,"SHELTER IS, Doubtful Sd, Unnamed",4161,117,0,Right Censored,7.094389107,0.850915005,-45.270108,0,0
239,"SHELTER IS, Doubtful Sd, Unnamed",4160,117,0,Right Censored,11.6301389,1.065584902,-45.270779,0,0
240,SHOE (MOTUHOA) I.,6120,117,0,Right Censored,45.71555121,1.660063961,-36.994047,0,0
241,SLIPPER I. GP: Penguin,6099,117,0,Right Censored,9.473814922,0.976524896,-37.065268,0,0
242,SLIPPER I. GP: Rabbit,6096,117,0,Right Censored,9.61078855,0.982759022,-37.070287,0,0
243,SLIPPER I. GP: Slipper (Whakahau),6113,117,0,Right Censored,234.5850407,2.370300314,-37.048682,0,0
244,"SMALL CRAFT HARBOUR IS, Chalky In.",2983,117,0,Right Censored,24.60223063,1.390974485,-45.969139,0,0
245,SOLANDER IS: Big Solander,2067,117,0,Right Censored,84.70763862,1.927922575,-46.573136,0,0
246,SOLANDER IS: Little Solander,2046,117,0,Right Censored,6.744676198,0.828961105,-46.569323,0,0
247,SOLOMON I.,940,106,1,Uncensored,28.69525991,1.457810163,-47.220083,2,0.477121255
248,"SOMES I., Wellington Hb.",5079,90,1,Uncensored,25.65853238,1.409231812,-41.259194,1,0.301029996
249,"SOUTH ISLETS,Ruapuke I.",1834,117,0,Right Censored,8.017158013,0.904020443,-46.803395,0,0
250,"SQUARE TOP I., Cape Colville",6796,117,0,Right Censored,4.035943501,0.605945078,-36.461978,0,0
251,"STEEP-TO I., Preservation Inlet",2654,117,0,Right Censored,59.99830765,1.778139001,-46.097756,2,0.477121255
252,"STEPHENS I.,",5744,25,1,Uncensored,143.9829491,2.158311065,-40.672527,2,0.477121255
253,STEPHENSON(MAHINEPUA) I.,8704,117,0,Right Censored,112.4758476,2.051059274,-34.965847,2,0.477121255
254,"STEWART I.,",31,117,0,Right Censored,168537.5419,5.226696656,-46.988333,5,0.77815125
255,"STOP I., Dusky Sd",3534,117,0,Right Censored,10.15365956,1.006622598,-45.765855,0,0
256,"STYLES I., Caswell Sd",4330,117,0,Right Censored,12.01684249,1.079790369,-45.004686,0,0
257,"TARAHIKI(SHAG) I.,Hauraki Gulf",6363,117,1,Right Censored,6.085260645,0.784279185,-36.790097,1,0.301029996
258,"TARAKAIPA I., Tennyson Inlet",5246,117,0,Right Censored,34.47096377,1.537453426,-41.066708,1,0.301029996
259,"TAWHITINUI I., Tennyson Inlet",5258,117,0,Right Censored,21.08363883,1.323945568,-41.050416,3,0.602059991
260,"TE HAUPA(SADDLE) I.,Maharangi Hds",6767,117,0,Right Censored,4.157227335,0.618803774,-36.512263,3,0.602059991
261,"TE MOTU I., Kawhia Hb.",5932,117,0,Right Censored,14.87036963,1.172321764,-38.10169,0,0
262,"THE ISLANDS, Wairau Bar",4973,117,0,Right Censored,20.49439582,1.31163512,-41.532302,0,0
263,"TIA, S.E. Stewart I.",1326,117,0,Right Censored,20.81191629,1.31831207,-47.073429,0,0
264,TIRITIRI MATANGI I.,434,93,1,Uncensored,187.6466152,2.273340735,-36.60293,7,0.903089987
265,"TITI I., Cook Strait",5353,75,1,Uncensored,23.49621563,1.370997919,-40.951347,2,0.477121255
266,"TONGA I., Tasman Bay",5475,107,1,Uncensored,8.332346468,0.92076732,-40.89068,1,0.301029996
267,TRIO IS: Middle Trio,5518,117,0,Right Censored,15.62093344,1.193706982,-40.838113,0,0
268,"TUHAWAIKI I.,S.of Catlins R.mouth",2185,117,0,Right Censored,9.585048295,0.981594305,-46.502824,0,0
269,"ULVA I., Paterson Inlet",1591,97,1,Uncensored,262.0847774,2.418441797,-46.933292,2,0.477121255
270,"UNNAMED, Blueskin Bay",3957,117,0,Right Censored,21.63791557,1.335215422,-45.73074,0,0
271,"UNNAMED,Cormorant Cv,Resolution I.",3770,117,0,Right Censored,13.59534039,1.133390086,-45.688425,0,0
272,"UNNAMED,E. of Long I.,Dusky Sd",3643,117,0,Right Censored,45.49576315,1.657970954,-45.745969,0,0
273,"UNNAMED,Earshell Cv,Resolution I.",3669,117,0,Right Censored,24.5604591,1.390236481,-45.729129,0,0
274,"UNNAMED,S.of Walker I.,Rangaunu Hb.",8803,117,0,Right Censored,5.410597892,0.733245259,-34.913008,0,0
275,"UNNAMED, Waiheke I.",6381,117,0,Right Censored,0.561473083,-0.250671059,-36.773725,0,0
276,"URETARA I., Ohiwa Hb.",5964,117,0,Right Censored,68.76179554,1.837347209,-38.000192,1,0.301029996
277,"URAPUKAPUKA I., Bay of Islands",7989,109,1,Uncensored,222.8079937,2.347930768,-35.216564,5,0.77815125
278,"UTAH I., Doubtful Sd",4112,117,0,Right Censored,5.066732154,0.704727947,-45.297109,0,0
